ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,TYPE
_001,1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00,BUILDING_FLOAT
_003,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.00,0.00,BUILDING_FLOAT
_005,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.00,0.00,BUILDING_FLOAT
_007,1.51743,13.30,3.60,1.14,73.09,0.58,8.17,0.00,0.00,BUILDING_FLOAT
_009,1.51918,14.04,3.58,1.37,72.08,0.56,8.30,0.00,0.00,BUILDING_FLOAT
_011,1.51571,12.72,3.46,1.56,73.20,0.67,8.09,0.00,0.24,BUILDING_FLOAT
_013,1.51589,12.88,3.43,1.40,73.28,0.69,8.05,0.00,0.24,BUILDING_FLOAT
_015,1.51763,12.61,3.59,1.31,73.29,0.58,8.50,0.00,0.00,BUILDING_FLOAT
_017,1.51784,12.68,3.67,1.16,73.11,0.61,8.70,0.00,0.00,BUILDING_FLOAT
_019,1.51911,13.90,3.73,1.18,72.12,0.06,8.89,0.00,0.00,BUILDING_FLOAT
_021,1.51750,12.82,3.55,1.49,72.75,0.54,8.52,0.00,0.19,BUILDING_FLOAT
_023,1.51736,12.78,3.62,1.29,72.79,0.59,8.70,0.00,0.00,BUILDING_FLOAT
_025,1.51720,13.38,3.50,1.15,72.85,0.50,8.43,0.00,0.00,BUILDING_FLOAT
_027,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.00,0.00,BUILDING_FLOAT
_029,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.00,0.00,BUILDING_FLOAT
_031,1.51768,12.65,3.56,1.30,73.08,0.61,8.69,0.00,0.14,BUILDING_FLOAT
_033,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,BUILDING_FLOAT
_035,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.00,0.00,BUILDING_FLOAT
_037,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.00,BUILDING_FLOAT
_039,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.00,0.00,BUILDING_FLOAT
_041,1.51793,12.79,3.50,1.12,73.03,0.64,8.77,0.00,0.00,BUILDING_FLOAT
_043,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.00,0.00,BUILDING_FLOAT
_045,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.00,0.30,BUILDING_FLOAT
_047,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.00,0.16,BUILDING_FLOAT
_049,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.00,0.00,BUILDING_FLOAT
_051,1.52320,13.72,3.72,0.51,71.75,0.09,10.06,0.00,0.16,BUILDING_FLOAT
_053,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.00,0.00,BUILDING_FLOAT
_055,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.00,0.09,BUILDING_FLOAT
_057,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.00,0.31,BUILDING_FLOAT
_059,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.00,0.00,BUILDING_FLOAT
_061,1.51905,13.60,3.62,1.11,72.64,0.14,8.76,0.00,0.00,BUILDING_FLOAT
_063,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.00,0.11,BUILDING_FLOAT
_065,1.52172,13.48,3.74,0.90,72.01,0.18,9.61,0.00,0.07,BUILDING_FLOAT
_067,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.00,0.17,BUILDING_FLOAT
_069,1.52152,13.12,3.58,0.90,72.20,0.23,9.82,0.00,0.16,BUILDING_FLOAT
_071,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.00,0.12,BUILDING
_073,1.51593,13.09,3.59,1.52,73.10,0.67,7.83,0.00,0.00,BUILDING
_075,1.51596,13.02,3.56,1.54,73.11,0.72,7.90,0.00,0.00,BUILDING
_077,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.00,0.00,BUILDING
_079,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.00,0.14,BUILDING
_081,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.00,0.00,BUILDING
_083,1.51646,13.41,3.55,1.25,72.81,0.68,8.10,0.00,0.00,BUILDING
_085,1.51409,14.25,3.09,2.08,72.28,1.10,7.08,0.00,0.00,BUILDING
_087,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.00,0.00,BUILDING
_089,1.51618,13.01,3.50,1.48,72.89,0.60,8.12,0.00,0.00,BUILDING
_091,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.00,0.22,BUILDING
_093,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.00,0.19,BUILDING
_095,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.00,0.00,BUILDING
_097,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.00,0.15,BUILDING
_099,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.00,0.00,BUILDING
_101,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,BUILDING
_103,1.51820,12.62,2.76,0.83,73.81,0.35,9.42,0.00,0.20,BUILDING
_105,1.52410,13.83,2.90,1.17,71.15,0.08,10.79,0.00,0.00,BUILDING
_107,1.53125,10.73,0.00,2.10,69.81,0.58,13.30,3.15,0.28,BUILDING
_109,1.52222,14.43,0.00,1.00,72.67,0.10,11.52,0.00,0.08,BUILDING
_111,1.52664,11.23,0.00,0.77,73.21,0.00,14.68,0.00,0.00,BUILDING
_113,1.52777,12.64,0.00,0.67,72.02,0.06,14.40,0.00,0.00,BUILDING
_115,1.51847,13.10,3.97,1.19,72.44,0.60,8.43,0.00,0.00,BUILDING
_117,1.51829,13.24,3.90,1.41,72.33,0.55,8.31,0.00,0.10,BUILDING
_119,1.51673,13.30,3.64,1.53,72.53,0.65,8.03,0.00,0.29,BUILDING
_121,1.51844,13.25,3.76,1.32,72.40,0.58,8.42,0.00,0.00,BUILDING
_123,1.51687,13.23,3.54,1.48,72.84,0.56,8.10,0.00,0.00,BUILDING
_125,1.52177,13.20,3.68,1.15,72.75,0.54,8.52,0.00,0.00,BUILDING
_127,1.51667,12.94,3.61,1.26,72.75,0.56,8.60,0.00,0.00,BUILDING
_129,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,BUILDING
_131,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.00,0.00,BUILDING
_133,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.00,0.00,BUILDING
_135,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.00,0.00,BUILDING
_137,1.51806,13.00,3.80,1.08,73.07,0.56,8.38,0.00,0.12,BUILDING
_139,1.51674,12.79,3.52,1.54,73.36,0.66,7.90,0.00,0.00,BUILDING
_141,1.51690,13.33,3.54,1.61,72.54,0.68,8.11,0.00,0.00,BUILDING
_146,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.00,0.35,BUILDING
_148,1.51610,13.33,3.53,1.34,72.67,0.56,8.33,0.00,0.00,VEHICLE_FLOAT
_150,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.00,0.00,VEHICLE_FLOAT
_155,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.00,0.00,VEHICLE_FLOAT
